to_station_name,count
Canal St & Adams St,12812
Clinton St & Washington Blvd,11051
Clinton St & Madison St,10360
Streeter Dr & Grand Ave,8820
Kingsbury St & Kinzie St,7172
Michigan Ave & Washington St,7073
Daley Center Plaza,6759
Franklin St & Monroe St,6196
Millennium Park,5743
Canal St & Madison St,5710
St. Clair St & Erie St,5469
Clinton St & Lake St,5358
Larrabee St & Kingsbury St,5253
Dearborn St & Erie St,5213
LaSalle St & Jackson Blvd,5164
Clark St & Elm St,5147
Wabash Ave & Grand Ave,4751
Columbus Dr & Randolph St,4704
Wells St & Huron St,4500
Lake Shore Dr & Monroe St,4493
Orleans St & Merchandise Mart Plaza,4473
Michigan Ave & Lake St,4397
Franklin St & Jackson Blvd,4257
Wells St & Concord Ln,4248
Dearborn St & Monroe St,4241
Wabash Ave & Roosevelt Rd,4238
Morgan St & Lake St,4121
Michigan Ave & Oak St,4098
Desplaines St & Kinzie St,3979
Damen Ave & Pierce Ave,3934
Wells St & Hubbard St,3927
LaSalle St & Illinois St,3864
State St & Kinzie St,3837
State St & Randolph St,3834
Ashland Ave & Division St,3740
McClurg Ct & Illinois St,3661
Fairbanks Ct & Grand Ave,3642
University Ave & 57th St,3624
Kingsbury St & Erie St,3585
Indiana Ave & Roosevelt Rd,3578
Dearborn Pkwy & Delaware Pl,3494
Green St & Madison St,3445
Clark St & Armitage Ave,3416
Sheffield Ave & Fullerton Ave,3384
Halsted St & Clybourn Ave,3325
Wilton Ave & Belmont Ave,3270
Clark St & Lake St,3230
Clark St & Randolph St,3201
Desplaines St & Jackson Blvd,3163
Wacker Dr & Washington St,3109
Morgan St & Polk St,3087
Broadway & Barry Ave,3055
Sedgwick St & Huron St,3053
Ravenswood Ave & Lawrence Ave,3026
Bissell St & Armitage Ave,3022
Wilton Ave & Diversey Pkwy,3014
Clinton St & Jackson Blvd,2977
Franklin St & Lake St,2948
Canal St & Monroe St,2941
Green St & Randolph St,2939
Rush St & Superior St,2937
Shedd Aquarium,2933
McClurg Ct & Erie St,2924
Marshfield Ave & Cortland St,2835
Wells St & Elm St,2823
Lincoln Ave & Fullerton Ave,2785
Theater on the Lake,2778
Milwaukee Ave & Grand Ave,2775
Michigan Ave & Jackson Blvd,2731
Clark St & Drummond Pl,2699
Peoria St & Jackson Blvd,2682
Franklin St & Chicago Ave,2680
Sheridan Rd & Irving Park Rd,2680
Aberdeen St & Jackson Blvd,2672
Cityfront Plaza Dr & Pioneer Ct,2662
Clark St & Wrightwood Ave,2657
Clark St & Lincoln Ave,2648
Clark St & Ida B Wells Dr,2605
Ellis Ave & 60th St,2590
Rush St & Hubbard St,2537
Sheffield Ave & Kingsbury St,2516
Loomis St & Lexington St,2510
Ellis Ave & 55th St,2510
Lake Shore Dr & North Blvd,2498
Wabash Ave & 9th St,2479
Federal St & Polk St,2460
Mies van der Rohe Way & Chestnut St,2446
Sedgwick St & North Ave,2417
Wells St & Evergreen Ave,2414
Wabash Ave & Adams St,2398
